iter	MultiClass
199	0.6073748969
200	0.607070852
201	0.606764492
202	0.606446675
203	0.6061209045
204	0.6057612428
205	0.6054134448
206	0.6050360579
207	0.6047244747
208	0.6044234769
209	0.6041457996
210	0.6039369076
211	0.6035164095
212	0.6031829182
213	0.6027594985
214	0.602338426
215	0.6021992722
216	0.601726247
217	0.6013019057
218	0.6010794409
219	0.60088841
220	0.6006526268
221	0.6002515667
222	0.5999964491
223	0.5996131923
224	0.5992073649
225	0.5989030646
226	0.5986076246
227	0.5983484342
228	0.598064104
229	0.5976715777
230	0.597403454
231	0.5971613978
232	0.5969293714
233	0.596597121
234	0.5963424491
235	0.596146463
236	0.5958456651
237	0.5956275167
238	0.5953195831
239	0.5950917534
240	0.5947202058
241	0.594445044
242	0.5941560543
243	0.5939321835
244	0.5935958235
245	0.5933418578
246	0.593214248
247	0.5930525809
248	0.5928067413
249	0.5925973619
250	0.5923031486
251	0.5918837801
252	0.5917862185
253	0.5914445251
254	0.5911987616
255	0.5908950214
256	0.5906124163
257	0.5903857474
258	0.5899585811
259	0.5897946803
260	0.5895571663
261	0.5894372662
262	0.589182972
263	0.5889481785
264	0.5888012442
265	0.588770634
266	0.5884981209
267	0.5882277862
268	0.587924655
269	0.5876334506
270	0.5874518335
271	0.5871087447
272	0.5868538196
273	0.5866873931
274	0.5866218672
275	0.5862211848
276	0.5860095003
277	0.585757587
278	0.5854296915
279	0.5850584796
280	0.5849619196
281	0.5848453588
282	0.5846935654
283	0.5844117226
284	0.5841272053
285	0.5839910098
286	0.5836978718
287	0.5835854447
288	0.5834358756
289	0.583114539
290	0.5827144963
291	0.5824339955
292	0.5821402265
293	0.5817951413
294	0.5815987837
295	0.5813227434
296	0.581089319
297	0.580752003
298	0.58060283
299	0.5803981173
300	0.5802327742
301	0.5800876032
302	0.5799040077
303	0.5796017652
304	0.5793938211
305	0.5791532831
306	0.5789717002
307	0.5788014207
308	0.5785956971
309	0.5781314365
310	0.5780026349
311	0.5777780243
312	0.5775268835
313	0.5771669317
314	0.5770758377
315	0.5768080256
316	0.576563813
317	0.5763270789
318	0.5761098379
319	0.5759102312
320	0.5757222435
321	0.5755829879
322	0.5753549219
323	0.5751185814
324	0.5748170621
325	0.574418854
326	0.5741968133
327	0.5738856462
328	0.5736513838
329	0.573426791
330	0.5731778162
331	0.5731325995
332	0.5729024199
333	0.5726905018
334	0.5725239491
335	0.5723038827
336	0.572139234
337	0.57184223
338	0.571669359
339	0.5713682564
340	0.5711973544
341	0.5710210035
342	0.5708475375
343	0.5706447327
344	0.5705071663
345	0.5703284371
346	0.5701655496
347	0.5700413053
348	0.5698716695
349	0.5696834174
350	0.5694528455
351	0.5693595643
352	0.5692421876
353	0.5690269205
354	0.5688572435
355	0.5686154518
356	0.5683500629
357	0.5681444559
358	0.5679144159
359	0.5677896036
360	0.5676822558
361	0.5675425968
362	0.5673263745
363	0.5671718225
364	0.5670689027
365	0.5668988507
366	0.5666244774
367	0.5664340259
368	0.5662564082
369	0.5660815853
370	0.5658639088
371	0.5657247348
372	0.5655307154
373	0.5654296782
374	0.5653426614
375	0.5651290529
376	0.564757892
377	0.5646255867
378	0.5644893561
379	0.5643025158
380	0.564004995
381	0.5638150401
382	0.563606359
383	0.5634464479
384	0.5633405561
385	0.5631887479
386	0.5630851498
387	0.5629114505
388	0.5628198617
389	0.56270583
390	0.5626614515
391	0.5624181906
392	0.5622916378
393	0.5621116071
394	0.5619391218
395	0.5618404067
396	0.5617977684
397	0.5616245658
398	0.5615382992
399	0.5615114053
400	0.5614723701
401	0.561314656
402	0.5610860094
403	0.5608892758
404	0.560785674
405	0.5606716947
406	0.560532206
407	0.5603441846
408	0.5601103033
409	0.5599531326
410	0.5597593951
411	0.5596801562
412	0.5595701608
413	0.559267025
414	0.5590053617
415	0.5588582909
416	0.5587639487
417	0.5586082908
418	0.5584556061
419	0.5584070585
420	0.5581849449
421	0.5580419528
422	0.557980917
423	0.5577932553
424	0.5575746165
425	0.5575349743
426	0.5572883177
427	0.5571142134
428	0.5567223525
429	0.5566728965
430	0.5565523556
431	0.5564252239
432	0.5562533787
433	0.5561080556
434	0.5559689176
435	0.5558685148
436	0.5556148987
437	0.555526724
438	0.5554317292
439	0.555317757
440	0.5551237648
441	0.5549537866
442	0.5549048244
443	0.5548520845
444	0.5546894207
445	0.5545236607
446	0.5543349723
447	0.5542508236
448	0.5540142449
449	0.55391279
450	0.5537259768
451	0.5535963529
452	0.5534478318
453	0.5532943303
454	0.5530057013
455	0.5528838564
456	0.552756174
457	0.5526105808
458	0.5523746471
459	0.552238137
460	0.5520907786
461	0.5518987433
462	0.5516443425
